episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
225,-0.9474549911086871,0.59999996,0.59999996,20.096973,25.630707
226,-1.9686487784423807,54.561897,0.59999996,20.005241,25.47816
227,-0.6357102774924961,0.59999996,10.690905,19.777256,25.183445
228,-0.6431505571282088,10.876384,0.59999996,25.707058,25.48919
229,-0.16051182368958888,25.887766,10.893195,25.9761,25.133074
230,-0.9535370313374703,0.59999996,0.59999996,25.9336,25.125956
231,-0.49899870168254534,0.59999996,19.666296,26.056862,24.850489
232,-0.5812310468382269,0.59999996,36.485825,25.61106,25.04327
233,-0.9533710831864575,0.59999996,0.59999996,25.504742,25.358738
234,-0.44922318239249037,14.132245,45.867756,25.650658,24.999512
235,-0.953562463602772,0.59999996,0.59999996,25.68846,25.388517
236,-0.4846008715141039,22.147085,0.59999996,25.234224,25.917334
237,-1.085669691224453,0.59999996,54.257835,25.165464,25.789948
238,-1.2134076089736396,55.729195,0.59999996,25.177053,25.927973
239,-1.0306547670953847,0.59999996,52.48021,25.372255,25.567205
240,-0.4798069776305991,0.59999996,21.737383,25.198713,20.096302
241,-0.4961153031275658,31.035233,0.59999996,25.165724,18.997864
242,-0.4947630919537077,29.871296,0.59999996,24.465063,19.929808
243,-0.156956807002743,25.558544,34.441456,24.997587,22.080257
244,-1.095357555567185,0.59999996,44.91553,25.056137,21.26008
245,-0.9462524712016904,0.59999996,0.59999996,24.687334,19.87102
246,-0.9450620565255186,0.59999996,0.59999996,24.312885,19.326101
247,-0.3827232098472577,24.583591,35.41641,24.877447,18.890583
248,-0.9418584787606399,0.59999996,0.59999996,23.661388,17.818897
249,-1.0491454027959382,49.225147,0.59999996,23.674171,17.727268
250,-2.3166870508545063,0.59999996,58.58332,24.653366,20.071632
251,-0.57799765724093,0.59999996,30.713972,20.812689,21.017883
252,-0.8069287263999403,3.4119322,0.6822812,19.809345,18.782396
253,-1.1465256735514533,11.634728,48.365273,21.088406,19.769932
254,-2.338444483476124,0.59999996,59.21129,20.600788,20.191875
255,-0.5493409445380877,0.59999996,26.925327,19.95221,19.268255
256,-1.0013284410742163,42.089764,0.59999996,20.718699,19.26848
257,-2.3648874358278604,0.59999996,56.952007,20.201454,19.329655
258,-0.9581285321433288,0.59999996,37.90772,20.106033,19.073582
259,-2.358792742187058,0.59999996,55.114094,19.94838,18.724583
260,-0.6992506671655292,6.3285503,0.59999996,19.853243,17.993841
261,-0.7200525182426074,21.275707,38.724293,19.712683,17.622606
262,-1.094593873836951,41.873043,0.59999996,19.772375,19.632847
263,-0.5218068207217805,18.220936,0.59999996,26.68018,20.780039
264,-0.945333767880232,0.59999996,0.59999996,24.020733,19.695566
265,-2.341512973351911,0.59999996,56.64949,25.113592,19.325178
266,-0.6209587539320474,10.883574,0.59999996,24.264719,18.988953
267,-1.2896664270762273,0.59999996,42.30168,25.42248,18.593014
268,-0.4994914485192321,24.733559,35.26644,24.838125,17.637785
269,-3.330924325378703,0.59999996,57.375072,20.933334,16.918274
270,-0.5758353600609767,10.752796,0.59999996,20.461176,16.029985
271,-36.6017200159679,0.5976529,59.40235,19.800728,17.520424
