Episode 257, Reward: -2.36, | Demand=(20.20, 19.33) | Alloc=(0.60, 56.95)
Episode 258, Reward: -0.96, | Demand=(20.11, 19.07) | Alloc=(0.60, 37.91)
Episode 259, Reward: -2.36, | Demand=(19.95, 18.72) | Alloc=(0.60, 55.11)
Episode 260, Reward: -0.70, | Demand=(19.85, 17.99) | Alloc=(6.33, 0.60)
Episode 261, Reward: -0.72, | Demand=(19.71, 17.62) | Alloc=(21.28, 38.72)
Episode 262, Reward: -1.09, | Demand=(19.77, 19.63) | Alloc=(41.87, 0.60)
Episode 263, Reward: -0.52, | Demand=(26.68, 20.78) | Alloc=(18.22, 0.60)
Episode 264, Reward: -0.95, | Demand=(24.02, 19.70) | Alloc=(0.60, 0.60)
Episode 265, Reward: -2.34, | Demand=(25.11, 19.33) | Alloc=(0.60, 56.65)
Episode 266, Reward: -0.62, | Demand=(24.26, 18.99) | Alloc=(10.88, 0.60)
Episode 267, Reward: -1.29, | Demand=(25.42, 18.59) | Alloc=(0.60, 42.30)
Episode 268, Reward: -0.50, | Demand=(24.84, 17.64) | Alloc=(24.73, 35.27)
Episode 269, Reward: -3.33, | Demand=(20.93, 16.92) | Alloc=(0.60, 57.38)
Episode 270, Reward: -0.58, | Demand=(20.46, 16.03) | Alloc=(10.75, 0.60)
Episode 271, Reward: -36.60, | Demand=(19.80, 17.52) | Alloc=(0.60, 59.40)
Episode 272, Reward: -1.14, | Demand=(20.03, 17.83) | Alloc=(0.60, 38.45)
Episode 273, Reward: -1.15, | Demand=(19.87, 17.59) | Alloc=(0.60, 38.04)
Episode 274, Reward: -0.90, | Demand=(19.96, 18.45) | Alloc=(38.48, 0.60)
Episode 275, Reward: -0.34, | Demand=(19.68, 18.15) | Alloc=(32.21, 27.79)
Episode 276, Reward: -0.63, | Demand=(22.20, 19.03) | Alloc=(34.76, 0.60)
Episode 277, Reward: -0.95, | Demand=(25.66, 19.13) | Alloc=(0.60, 0.60)
Episode 278, Reward: -1.16, | Demand=(24.55, 18.92) | Alloc=(53.45, 0.60)
Episode 279, Reward: -0.56, | Demand=(24.79, 18.48) | Alloc=(35.49, 0.60)
Episode 280, Reward: -0.66, | Demand=(23.81, 17.95) | Alloc=(11.74, 36.45)
Episode 281, Reward: -0.62, | Demand=(24.60, 16.87) | Alloc=(10.88, 0.60)
Episode 282, Reward: -0.94, | Demand=(24.44, 16.55) | Alloc=(0.60, 0.60)
Episode 283, Reward: -0.94, | Demand=(24.83, 18.50) | Alloc=(0.60, 0.60)
Episode 284, Reward: -0.95, | Demand=(24.48, 19.44) | Alloc=(0.60, 0.60)
Episode 285, Reward: -0.51, | Demand=(23.33, 18.38) | Alloc=(30.07, 0.60)
Episode 286, Reward: -8.03, | Demand=(24.20, 18.17) | Alloc=(20.10, 39.90)
Episode 287, Reward: -2.01, | Demand=(25.16, 18.68) | Alloc=(6.51, 53.49)
Episode 288, Reward: -2.39, | Demand=(24.25, 20.10) | Alloc=(0.59, 59.41)
Episode 289, Reward: -0.95, | Demand=(24.99, 19.86) | Alloc=(0.60, 0.60)
Episode 290, Reward: -2.36, | Demand=(25.25, 19.67) | Alloc=(0.60, 57.82)
Episode 291, Reward: -0.95, | Demand=(24.97, 19.85) | Alloc=(0.60, 0.60)
Episode 292, Reward: -0.88, | Demand=(25.31, 19.40) | Alloc=(2.33, 0.60)
Episode 293, Reward: -2.62, | Demand=(25.62, 18.79) | Alloc=(0.60, 57.68)
Episode 294, Reward: -0.95, | Demand=(25.63, 18.92) | Alloc=(0.60, 0.60)
Episode 295, Reward: -0.82, | Demand=(24.39, 18.25) | Alloc=(44.92, 0.60)
Episode 296, Reward: -0.94, | Demand=(20.64, 17.75) | Alloc=(0.60, 0.60)
